Ejecucion,Tama¤o,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
5,560,995,3502,2988,999,1000,0,0,0
6,560,0,3183,3000,995,1000,0,0,1001
7,560,0,3001,3000,1000,1000,0,0,999
8,560,0,3011,3007,2000,0,998,0,0
9,560,1001,2991,2000,2008,1020,0,0,0
10,560,999,2990,2984,1460,0,0,0,0
1,570,1011,2983,2539,2026,0,983,0,0
2,570,1012,3975,3001,1998,0,1005,0,0
3,570,1008,3012,3023,2981,1003,0,0,0
4,570,991,3028,4533,995,999,0,1005,0
5,570,993,4005,1994,2001,1021,0,0,0
6,570,1290,2984,2999,2002,0,0,1003,0
7,570,996,3385,1999,2000,671,0,0,0
8,570,2378,2515,2004,2005,0,0,2005,0
9,570,0,4013,2307,0,0,0,0,0
10,570,0,0,0,0,13668,1425,0,0
1,580,1183,2008,3481,2982,0,0,0,0
2,580,0,5554,0,0,0,0,0,0
3,580,7543,1338,0,6363,806,0,643,0
4,580,0,0,6960,0,0,0,0,0
5,580,0,7418,1116,0,0,0,0,0
6,580,0,0,11310,2008,0,0,1506,0
7,580,0,4018,2021,2007,0,0,0,0
8,580,2008,2007,3756,4036,0,0,0,2009
9,580,0,4015,2009,2009,0,0,0,0
10,580,0,4031,0,5563,0,1855,0,0
1,590,0,5137,2717,1490,1741,0,0,0
2,590,0,0,6841,2541,0,0,0,0
3,590,0,5555,0,0,0,0,0,0
4,590,0,0,15900,3018,0,0,0,2012
5,590,0,5396,4027,2011,0,0,0,2010
6,590,0,4022,2009,3766,0,0,2011,0
7,590,0,4023,2011,2011,2011,0,0,0
8,590,1754,6041,6041,2015,1758,0,0,0
9,590,0,3009,0,7269,0,0,0,0
10,590,2008,3752,0,5560,0,0,0,0
1,600,0,3131,2011,3792,0,0,0,0
2,600,0,4025,4025,2012,0,0,0,1754
3,600,0,5166,0,0,0,0,0,0
4,600,0,10636,2015,2182,1871,0,0,0
5,600,0,3507,0,6459,0,0,0,0
6,600,0,0,0,0,0,0,0,0
7,600,0,15884,0,5761,0,0,0,0
8,600,0,0,8400,1204,0,0,0,0
9,600,0,5923,0,0,0,0,0,0
10,600,7560,1009,0,7465,0,0,0,0
1,610,0,0,10183,0,0,0,0,0
2,610,0,8196,0,0,6049,0,0,0
3,610,0,0,0,0,0,0,0,0
4,610,0,17812,0,0,0,0,0,0
5,610,0,8585,5031,0,0,0,0,0
6,610,0,0,0,0,0,0,0,0
7,610,0,19028,2007,4020,0,0,0,0
8,610,2010,2007,4013,2529,0,0,2008,0
9,610,0,4009,2012,3512,0,0,0,0
10,610,2008,4012,2005,2004,0,0,2004,0
1,620,1628,3709,0,4703,0,0,0,0
2,620,0,0,9886,0,0,0,0,0
3,620,0,0,0,0,15707,0,0,0
4,620,0,2963,5172,0,0,0,0,0
5,620,5971,5791,4024,2014,0,0,0,0
6,620,0,10043,2010,3022,0,0,0,0
7,620,2005,4008,3015,2007,0,0,2005,0
8,620,0,4011,2004,3750,0,0,0,0
9,620,2014,4014,2005,2007,2005,0,0,0
10,620,0,3751,7341,0,0,0,0,0
1,630,8240,0,7491,0,0,0,0,0
2,630,0,9618,0,0,0,0,0,0
